,Word,Graphemes,Word Length,Number of Graphemes,Number of Vowels,Number of Consonants,Characters per Grapheme
0,a,a,1,1,1,0,1.0
1,aa,aa,2,1,2,0,2.0
2,aah,a-ah,3,2,2,1,1.5
3,aahed,a-ah-ed,5,3,3,2,1.6666666666666667
4,aahing,a-ah-i-ng,6,4,3,3,1.5
5,aahs,a-ah-s,4,3,2,2,1.3333333333333333
6,aal,a-al,3,2,2,1,1.5
7,aalii,a-al-i-i,5,4,4,1,1.25
8,aaliis,a-al-i-is,6,4,4,2,1.5
9,aals,a-al-s,4,3,2,2,1.3333333333333333
10,aardvark,a-ar-d-v-ar-k,8,6,3,5,1.3333333333333333
11,aardvarks,a-ar-d-v-ar-k-s,9,7,3,6,1.2857142857142858
12,aardwolf,a-ar-d-w-ol-f,8,6,3,5,1.3333333333333333
13,aardwolves,a-ar-d-w-ol-v-es,10,7,4,6,1.4285714285714286
14,aargh,a-ar-gh,5,3,2,3,1.6666666666666667
15,aarrgh,a-ar-r-gh,6,4,2,4,1.5
16,aarrghh,a-ar-r-gh-h,7,5,2,5,1.4
17,aarti,a-ar-ti,5,3,3,2,1.6666666666666667
18,aartis,a-ar-ti-s,6,4,3,3,1.5
19,aas,a-as,3,2,2,1,1.5
20,aasvogel,a-as-v-o-ge-l,8,6,4,4,1.3333333333333333
21,aasvogels,a-as-v-o-ge-l-s,9,7,4,5,1.2857142857142858
22,aba,a-b-a,3,3,2,1,1.0
23,abac,a-b-a-c,4,4,2,2,1.0
24,abaca,a-b-a-c-a,5,5,3,2,1.0
25,abacas,a-b-a-c-as,6,5,3,3,1.2
26,abaci,a-b-a-ci,5,4,3,2,1.25
27,aback,a-b-a-ck,5,4,2,3,1.25
28,abacs,a-b-a-c-s,5,5,2,3,1.0
29,abacterial,a-b-a-ct-er-i-al,10,7,5,5,1.4285714285714286
30,abactinal,a-b-a-ct-i-n-al,9,7,4,5,1.2857142857142858
31,abactinally,a-b-a-ct-i-n-al-l-y,11,9,4,7,1.2222222222222223
32,abactor,a-b-a-ct-or,7,5,3,4,1.4
33,abactors,a-b-a-ct-or-s,8,6,3,5,1.3333333333333333
34,abacus,a-b-a-cu-s,6,5,3,3,1.2
35,abacuses,a-b-a-cu-s-es,8,6,4,4,1.3333333333333333
36,abaft,a-b-a-ft,5,4,2,3,1.25
37,abaka,a-b-a-k-a,5,5,3,2,1.0
38,abakas,a-b-a-k-as,6,5,3,3,1.2
39,abalone,a-b-a-l-o-ne,7,6,4,3,1.1666666666666667
40,abalones,a-b-a-l-o-ne-s,8,7,4,4,1.1428571428571428
41,abamp,a-b-a-m-p,5,5,2,3,1.0
42,abampere,a-b-a-m-p-ere,8,6,4,4,1.3333333333333333
43,abamperes,a-b-a-m-p-ere-s,9,7,4,5,1.2857142857142858
44,abamps,a-b-a-m-ps,6,5,2,4,1.2
45,aband,a-b-a-nd,5,4,2,3,1.25
46,abanded,a-b-a-nd-ed,7,5,3,4,1.4
47,abanding,a-b-a-nd-i-ng,8,6,3,5,1.3333333333333333
48,abandon,a-b-a-nd-o-n,7,6,3,4,1.1666666666666667
49,abandonedly,a-b-a-nd-o-n-ed-l-y,11,9,4,7,1.2222222222222223
50,abandonee,a-b-a-nd-o-n-ee,9,7,5,4,1.2857142857142858
51,abandonees,a-b-a-nd-o-n-ee-s,10,8,5,5,1.25
52,abandoner,a-b-a-nd-o-n-er,9,7,4,5,1.2857142857142858
53,abandoners,a-b-a-nd-o-n-er-s,10,8,4,6,1.25
54,abandoning,a-b-a-nd-o-n-i-ng,10,8,4,6,1.25
55,abandonment,a-b-a-nd-o-n-m-en-t,11,9,4,7,1.2222222222222223
56,abandonments,a-b-a-nd-o-n-m-en-t-s,12,10,4,8,1.2
57,abandons,a-b-a-nd-o-n-s,8,7,3,5,1.1428571428571428
58,abandonware,a-b-a-nd-o-n-w-a-re,11,9,5,6,1.2222222222222223
59,abandonwares,a-b-a-nd-o-n-w-a-re-s,12,10,5,7,1.2
60,abands,a-b-a-nd-s,6,5,2,4,1.2
61,abapical,a-b-a-p-i-c-al,8,7,4,4,1.1428571428571428
62,abas,a-b-as,4,3,2,2,1.3333333333333333
63,abase,a-b-as-e,5,4,3,2,1.25
64,abased,a-b-as-e-d,6,5,3,3,1.2
65,abasedly,a-b-as-e-d-l-y,8,7,3,5,1.1428571428571428
66,abasement,a-b-as-e-me-nt,9,6,4,5,1.5
67,abasements,a-b-as-e-me-nt-s,10,7,4,6,1.4285714285714286
68,abaser,a-b-as-er,6,4,3,3,1.5
69,abasers,a-b-as-er-s,7,5,3,4,1.4
70,abases,a-b-as-es,6,4,3,3,1.5
71,abash,a-b-a-sh,5,4,2,3,1.25
72,abashed,a-b-a-sh-ed,7,5,3,4,1.4
73,abashedly,a-b-a-sh-ed-l-y,9,7,3,6,1.2857142857142858
74,abashes,a-b-a-sh-es,7,5,3,4,1.4
75,abashing,a-b-a-sh-i-ng,8,6,3,5,1.3333333333333333
76,abashless,a-b-a-sh-le-ss,9,6,3,6,1.5
77,abashment,a-b-a-sh-me-nt,9,6,3,6,1.5
78,abashments,a-b-a-sh-me-nt-s,10,7,3,7,1.4285714285714286
79,abasia,a-b-a-si-a,6,5,4,2,1.2
80,abasias,a-b-a-si-a-s,7,6,4,3,1.1666666666666667
81,abasing,a-b-a-si-ng,7,5,3,4,1.4
82,abask,a-b-a-s-k,5,5,2,3,1.0
83,abatable,a-b-at-a-b-le,8,6,4,4,1.3333333333333333
84,abate,a-b-a-te,5,4,3,2,1.25
85,abated,a-b-a-te-d,6,5,3,3,1.2
86,abatement,a-b-a-te-me-nt,9,6,4,5,1.5
87,abatements,a-b-a-te-me-nt-s,10,7,4,6,1.4285714285714286
88,abater,a-b-a-t-er,6,5,3,3,1.2
89,abaters,a-b-a-t-er-s,7,6,3,4,1.1666666666666667
90,abates,a-b-a-t-es,6,5,3,3,1.2
91,abating,a-b-a-t-i-ng,7,6,3,4,1.1666666666666667
92,abatis,a-b-a-ti-s,6,5,3,3,1.2
93,abatises,a-b-a-ti-s-es,8,6,4,4,1.3333333333333333
94,abator,a-b-a-t-or,6,5,3,3,1.2
95,abators,a-b-a-t-or-s,7,6,3,4,1.1666666666666667
96,abattis,a-b-a-t-ti-s,7,6,3,4,1.1666666666666667
97,abattises,a-b-a-tt-is-es,9,6,4,5,1.5
98,abattoir,a-b-a-tt-oir,8,5,4,4,1.6
99,abattoirs,a-b-a-tt-oir-s,9,6,4,5,1.5
100,abattu,a-b-a-tt-u,6,5,3,3,1.2
101,abature,a-b-a-t-ure,7,5,4,3,1.4
102,abatures,a-b-a-t-ure-s,8,6,4,4,1.3333333333333333
103,abaxial,a-b-a-xi-al,7,5,4,3,1.4
104,abaxile,a-b-a-xi-le,7,5,4,3,1.4
105,abaya,a-b-a-y-a,5,5,3,2,1.0
106,abayas,a-b-a-y-a-s,6,6,3,3,1.0
107,abb,a-bb,3,2,1,2,1.5
108,abba,a-bb-a,4,3,2,2,1.3333333333333333
109,abbacies,a-bb-a-ci-es,8,5,4,4,1.6
110,abbacy,a-bb-a-c-y,6,5,2,4,1.2
111,abbas,a-bb-a-s,5,4,2,3,1.25
112,abbatial,a-bb-a-ti-al,8,5,4,4,1.6
113,abbe,a-bb-e,4,3,2,2,1.3333333333333333
114,abbed,a-bb-ed,5,3,2,3,1.6666666666666667
115,abbes,a-bb-es,5,3,2,3,1.6666666666666667
116,abbess,a-bb-e-ss,6,4,2,4,1.5
117,abbesses,a-bb-e-ss-es,8,5,3,5,1.6
118,abbey,a-bb-ey,5,3,2,3,1.6666666666666667
119,abbeys,a-bb-ey-s,6,4,2,4,1.5
120,abbot,a-bb-ot,5,3,2,3,1.6666666666666667
121,abbotcies,a-bb-ot-ci-es,9,5,4,5,1.8
122,abbotcy,a-bb-ot-c-y,7,5,2,5,1.4
123,abbots,a-bb-ot-s,6,4,2,4,1.5
124,abbotship,a-bb-ot-sh-i-p,9,6,3,6,1.5
125,abbotships,a-bb-ot-sh-i-p-s,10,7,3,7,1.4285714285714286
126,abbreviate,a-bb-re-v-i-a.e-t,10,7,5,5,1.4285714285714286
127,abbreviated,a-bb-re-v-i-a.e-t-d,11,8,5,6,1.375
128,abbreviates,a-bb-re-v-i-a.e-t-s,11,8,5,6,1.375
129,abbreviating,a-bb-re-v-i-at-i-ng,12,8,5,7,1.5
130,abbreviation,a-bb-re-v-i-a-ti-o-n,12,9,6,6,1.3333333333333333
131,abbreviations,a-bb-re-v-i-a-ti-on-s,13,9,6,7,1.4444444444444444
132,abbreviator,a-bb-re-v-i-a-t-or,11,8,5,6,1.375
133,abbreviators,a-bb-re-v-i-a-t-or-s,12,9,5,7,1.3333333333333333
